,Normal Epochs,Apnea Epochs
O1d-C4a,-0.0014392881004417605,-0.002717238931219676
O1d-C4s,-0.0018322207327938875,-0.003244394600693594
O1d-C4b,-0.0022285042772735336,-0.003965575538028154
O1d-O2d,-0.0014767812327772243,-0.00017999285280223768
O1d-O2t,0.002129733024981969,0.0035731815749307596
O1d-O2a,0.003202833598004145,0.007896836029248311
O1d-O2s,0.0022893548860231623,0.004906442860921996
O1d-O2b,0.0021004723000255894,0.005190182543091804
O1t-O1a,0.00036852652051926743,0.0010343541604503283
O1t-O1s,0.0019932355663996254,0.004911640045883368
O1t-O1b,0.0016214479600345725,0.0033959669154629197
O1t-FRd,0.0004315653535385467,0.001162373833447256
O1t-FRt,0.004486978193590812,0.005746642087729622
O1t-FRa,-0.0019007685410914843,-0.0031382416337212863
O1t-FRs,-0.0010356102955979402,-0.002095505361913064
O1t-FRb,-0.0013471559262783533,-0.0034112780092998216
O1t-C4d,0.003207660041128665,0.004954535132255221
O1t-C4t,0.0029250388453671227,0.0050279566994549515
O1t-C4a,-0.001946360021602472,-0.003249876589889866
O1t-C4s,-0.0004646171756110326,-0.0005022467617508244
O1t-C4b,-0.00040875582713039376,-0.00043393839440607847
O1t-O2d,0.0007760778392220094,0.0016408231691910468
O1t-O2t,-0.0035952684615686236,-0.003402967519584383
O1t-O2a,-0.0018447634231061848,-0.0030019108131799483
O1t-O2s,0.003485402165844232,0.009148066058563243
O1t-O2b,0.0009038980397627787,0.0021304331028068847
O1a-O1s,-0.00013310429689854936,0.00015140962937993594
O1a-O1b,0.0022343054285215236,0.0038951725983879235
